star,star_url,nationality,image_url
Choi Woo-sik,https://www.imdb.com/name/nm6079248/,South Korea,https://m.media-amazon.com/images/M/MV5BYzZkMzdlOWItMmUwNC00MmY0LTlkNTgtZjVmMGRhNTQwZjcyXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_.jpg
Jean Reno,https://www.imdb.com/name/nm0000606/,Morocco,https://m.media-amazon.com/images/M/MV5BMTgzNjA1MjY2M15BMl5BanBnXkFtZTYwMjgzOTk0._V1_.jpg
Gary Oldman,https://www.imdb.com/name/nm0000198/,UK,https://m.media-amazon.com/images/M/MV5BMTc3NTM4MzQ5MV5BMl5BanBnXkFtZTcwOTE4MDczNw@@._V1_.jpg
Natalie Portman,https://www.imdb.com/name/nm0000204/,Israel,https://m.media-amazon.com/images/M/MV5BYzU0ZGRhZWItMGJlNy00YzlkLWIzOWYtNDA2NzlhMDg3YjMwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg
Danny Aiello,https://www.imdb.com/name/nm0000732/,USA,https://m.media-amazon.com/images/M/MV5BNTMxMjYzNzk5Nl5BMl5BanBnXkFtZTcwNzU4NDgwMw@@._V1_.jpg
Matthew Broderick,https://www.imdb.com/name/nm0000111/,USA,https://m.media-amazon.com/images/M/MV5BMTg2NjA0MzM0OF5BMl5BanBnXkFtZTcwMDU5ODAxMw@@._V1_.jpg
Jeremy Irons,https://www.imdb.com/name/nm0000460/,UK,https://m.media-amazon.com/images/M/MV5BMTY5Mzg2NDY5OV5BMl5BanBnXkFtZTcwMDQwNzA0Mg@@._V1_.jpg
James Earl Jones,https://www.imdb.com/name/nm0000469/,USA,https://m.media-amazon.com/images/M/MV5BMTcwNTg1MzMwM15BMl5BanBnXkFtZTcwNTQyMDgyMg@@._V1_.jpg
Whoopi Goldberg,https://www.imdb.com/name/nm0000155/,USA,https://m.media-amazon.com/images/M/MV5BMjE4ODgzNjQwOV5BMl5BanBnXkFtZTYwNzczNzc0._V1_.jpg
Russell Crowe,https://www.imdb.com/name/nm0000128/,New Zealand,https://m.media-amazon.com/images/M/MV5BMTQyMTExNTMxOF5BMl5BanBnXkFtZTcwNDg1NzkzNw@@._V1_.jpg
Joaquin Phoenix,https://www.imdb.com/name/nm0001618/,Puerto Rico,https://m.media-amazon.com/images/M/MV5BZGMyY2Q4NTEtMWVkZS00NzcwLTkzNmQtYzBlMWZhZGNhMDhkXkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_.jpg
Connie Nielsen,https://www.imdb.com/name/nm0001567/,🇩🇰,https://m.media-amazon.com/images/M/MV5BYzZiYTQ4YTAtMzRkMi00ZDZlLWFkZWItNGI2ZTIyODRiYTc4XkEyXkFqcGdeQXVyMjUzMjc2MjE@._V1_.jpg
Oliver Reed,https://www.imdb.com/name/nm0001657/,UK,https://m.media-amazon.com/images/M/MV5BMTM3NDg5MDg1MF5BMl5BanBnXkFtZTcwNzEwODkyOA@@._V1_.jpg
Edward Norton,https://www.imdb.com/name/nm0001570/,USA,https://m.media-amazon.com/images/M/MV5BMTYwNjQ5MTI1NF5BMl5BanBnXkFtZTcwMzU5MTI2Mw@@._V1_.jpg
Edward Furlong,https://www.imdb.com/name/nm0000411/,USA,https://m.media-amazon.com/images/M/MV5BMTI1MzgxODkyMl5BMl5BanBnXkFtZTcwNTc1NDIzMQ@@._V1_.jpg
Beverly D'Angelo,https://www.imdb.com/name/nm0000350/,USA,https://m.media-amazon.com/images/M/MV5BMTMyNTk4ODU5NV5BMl5BanBnXkFtZTcwODU0OTgwMw@@._V1_.jpg
Jennifer Lien,https://www.imdb.com/name/nm0000497/,USA,https://m.media-amazon.com/images/M/MV5BMTA2MzA3OTEyNjJeQTJeQWpwZ15BbWU3MDY3NzA4OTc@._V1_.jpg
Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/,USA,https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_.jpg
Matt Damon,https://www.imdb.com/name/nm0000354/,USA,https://m.media-amazon.com/images/M/MV5BMTM0NzYzNDgxMl5BMl5BanBnXkFtZTcwMDg2MTMyMw@@._V1_.jpg
Jack Nicholson,https://www.imdb.com/name/nm0000197/,USA,https://m.media-amazon.com/images/M/MV5BMTQ3OTY0ODk0M15BMl5BanBnXkFtZTYwNzE4Njc4._V1_.jpg
Mark Wahlberg,https://www.imdb.com/name/nm0000242/,USA,https://m.media-amazon.com/images/M/MV5BMTU0MTQ4OTMyMV5BMl5BanBnXkFtZTcwMTQxOTY1NA@@._V1_.jpg
Kevin Spacey,https://www.imdb.com/name/nm0000228/,USA,https://m.media-amazon.com/images/M/MV5BMTY1NzMyODc3Nl5BMl5BanBnXkFtZTgwNzE2MzA1NDM@._V1_.jpg
Gabriel Byrne,https://www.imdb.com/name/nm0000321/,🇮🇪,https://m.media-amazon.com/images/M/MV5BMjAxMzE1ODA1Ml5BMl5BanBnXkFtZTcwODY3MjU5MQ@@._V1_.jpg
Chazz Palminteri,https://www.imdb.com/name/nm0001590/,USA,https://m.media-amazon.com/images/M/MV5BMjExNjU4NTUzOV5BMl5BanBnXkFtZTgwMTY3MDMzMTE@._V1_.jpg
Stephen Baldwin,https://www.imdb.com/name/nm0000286/,USA,https://m.media-amazon.com/images/M/MV5BMTIyOTA4OTc5MF5BMl5BanBnXkFtZTcwOTQ3ODE5MQ@@._V1_.jpg
Christian Bale,https://www.imdb.com/name/nm0000288/,UK,https://m.media-amazon.com/images/M/MV5BMTkxMzk4MjQ4MF5BMl5BanBnXkFtZTcwMzExODQxOA@@._V1_.jpg
Hugh Jackman,https://www.imdb.com/name/nm0413168/,Australia,https://m.media-amazon.com/images/M/MV5BNDExMzIzNjk3Nl5BMl5BanBnXkFtZTcwOTE4NDU5OA@@._V1_.jpg
Scarlett Johansson,https://www.imdb.com/name/nm0424060/,USA,https://m.media-amazon.com/images/M/MV5BMTM3OTUwMDYwNl5BMl5BanBnXkFtZTcwNTUyNzc3Nw@@._V1_.jpg
Michael Caine,https://www.imdb.com/name/nm0000323/,UK,https://m.media-amazon.com/images/M/MV5BMjAwNzIwNTQ4Ml5BMl5BanBnXkFtZTYwMzE1MTUz._V1_.jpg
Miles Teller,https://www.imdb.com/name/nm1886602,USA,https://m.media-amazon.com/images/M/MV5BM2ZiYThiZTUtYmM0ZS00ZWQzLTgzMTEtZWY1ZDkwNWM4ZGNmXkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_.jpg
J.K. Simmons,https://www.imdb.com/name/nm0799777/,USA,https://m.media-amazon.com/images/M/MV5BMzg2NTI5NzQ1MV5BMl5BanBnXkFtZTgwNjI1NDEwMDI@._V1_.jpg
Melissa Benoist,https://www.imdb.com/name/nm2552034,USA,N/A
Humphrey Bogart,https://www.imdb.com/name/nm0000007/,USA,https://m.media-amazon.com/images/M/MV5BZDRiZWJjOTMtNzczMi00ZTIyLWJmNjAtMzlkNWU5ODc4NDk1XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
Ingrid Bergman,https://www.imdb.com/name/nm0000006/,Sweden,https://m.media-amazon.com/images/M/MV5BMjQyMTYxODQzMF5BMl5BanBnXkFtZTgwMDA1MTI2NDM@._V1_.jpg
Paul Henreid,https://www.imdb.com/name/nm0002134/,Italy,https://m.media-amazon.com/images/M/MV5BMjMyOTQ0ODg1NF5BMl5BanBnXkFtZTcwMjM2MjYwOA@@._V1_.jpg
Claude Rains,https://www.imdb.com/name/nm0001647/,UK,https://m.media-amazon.com/images/M/MV5BMTQwNDc3NjQ1OF5BMl5BanBnXkFtZTcwMjQ0NjI5Nw@@._V1_.jpg
Tsutomu Tatsumi,https://www.imdb.com/name/nm0851302/,NA,N/A
Ayano Shiraishi,https://www.imdb.com/name/nm0794186/,NA,N/A
Akemi Yamaguchi,https://www.imdb.com/name/nm0945312/,NA,N/A
Yoshiko Shinohara,https://www.imdb.com/name/nm0794002/,NA,N/A
Tatsuya Nakadai,https://www.imdb.com/name/nm0619938/,Japan,https://m.media-amazon.com/images/M/MV5BMTM5MzYwNDA3NV5BMl5BanBnXkFtZTcwNDExMTMwNw@@._V1_.jpg
Akira Ishihama,https://www.imdb.com/name/nm0410968/,Japan,https://m.media-amazon.com/images/M/MV5BMTIzZjE4OTctNTcwOS00ZWNmLThjODMtMmQzZjFjODlmZDZlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
Shima Iwashita,https://www.imdb.com/name/nm0412615/,Japan,https://m.media-amazon.com/images/M/MV5BMTk1NDQzMDIwMV5BMl5BanBnXkFtZTcwNzk5MDUwNw@@._V1_.jpg
Tetsurô Tanba,https://www.imdb.com/name/nm0848533/,Japan,https://m.media-amazon.com/images/M/MV5BYmI0NDUxMDgtNzNmYy00ZGRhLWJlZWQtMTQyNmU3YTJmMzY3XkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_.jpg
François Cluzet,https://www.imdb.com/name/nm0167388/,France,https://m.media-amazon.com/images/M/MV5BMTkyNjcyNjE0Nl5BMl5BanBnXkFtZTcwMTY5NTc1NA@@._V1_.jpg
Omar Sy,https://www.imdb.com/name/nm1082477/,France,https://m.media-amazon.com/images/M/MV5BMjI2MjE3MDQ3NV5BMl5BanBnXkFtZTcwOTY0NzU0Nw@@._V1_.jpg
Anne Le Ny,https://www.imdb.com/name/nm0494504/,France,https://m.media-amazon.com/images/M/MV5BYjVkMjUwMzItZWUzMC00Y2QxLThlOGYtODEyZmIwMmEyMTY1XkEyXkFqcGdeQXVyMzQ0NTk5NzU@._V1_.jpg
Audrey Fleurot,https://www.imdb.com/name/nm1109153/,France,https://m.media-amazon.com/images/M/MV5BMTYzNjA3ODAyOF5BMl5BanBnXkFtZTcwMTMwMDYxNw@@._V1_.jpg
Charles Chaplin,https://www.imdb.com/name/nm0000122/,UK,https://m.media-amazon.com/images/M/MV5BNDcwMDc0ODAzOF5BMl5BanBnXkFtZTgwNTY2OTI1MDE@._V1_.jpg
Paulette Goddard,https://www.imdb.com/name/nm0002104/,USA,https://m.media-amazon.com/images/M/MV5BMjE1NTk1Mjg4MF5BMl5BanBnXkFtZTcwMjAxMDIzNw@@._V1_.jpg
Henry Bergman,https://www.imdb.com/name/nm0074788/,USA,https://m.media-amazon.com/images/M/MV5BN2NjNGQxZWMtMjI3NC00ZjE0LTkzMzktMGE4NzNiNmJkODZiXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_.jpg
Tiny Sandford,https://www.imdb.com/name/nm0761866/,USA,https://m.media-amazon.com/images/M/MV5BZTc2ZWRlZWUtMDg3Yy00OGRmLTlhNzItNTQ1ZGY3OWRhYTk3XkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_.jpg
Henry Fonda,https://www.imdb.com/name/nm0000020/,USA,https://m.media-amazon.com/images/M/MV5BOTEwNjQ2ODQ4Nl5BMl5BanBnXkFtZTYwMzEwMTM2._V1_.jpg
Charles Bronson,https://www.imdb.com/name/nm0000314/,USA,https://m.media-amazon.com/images/M/MV5BYWNlYzczNjItMjRlZi00MjE3LWJlYzctYzcyYTlkM2U5YzMzXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
Claudia Cardinale,https://www.imdb.com/name/nm0001012/,Tunisia,https://m.media-amazon.com/images/M/MV5BYWRkZmZkYmMtZjQ1Ni00MGQwLTkxZjUtOWU3ODlkZDRmY2FjXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
James Stewart,https://www.imdb.com/name/nm0000071/,USA,https://m.media-amazon.com/images/M/MV5BMjIwNzMzODY0NV5BMl5BanBnXkFtZTcwMDk3NDQyOA@@._V1_.jpg
Grace Kelly,https://www.imdb.com/name/nm0000038/,USA,https://m.media-amazon.com/images/M/MV5BODU0Y2MwNjYtOWJmYi00ZjhiLWJhMzktOTlmYjlkYTFhOWY0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg
Wendell Corey,https://www.imdb.com/name/nm0179819/,USA,https://m.media-amazon.com/images/M/MV5BMTgwODk5NjE1MF5BMl5BanBnXkFtZTcwMjY3MDgwOA@@._V1_.jpg
Thelma Ritter,https://www.imdb.com/name/nm0728812/,USA,https://m.media-amazon.com/images/M/MV5BMTYzOTEyNTUxNV5BMl5BanBnXkFtZTcwNzAwNjYwNA@@._V1_.jpg
Philippe Noiret,https://www.imdb.com/name/nm0634159/,France,https://m.media-amazon.com/images/M/MV5BMTU2MzE2OTE0N15BMl5BanBnXkFtZTcwNTg2NzIwNw@@._V1_.jpg
Enzo Cannavale,https://www.imdb.com/name/nm0134073/,Italy,https://m.media-amazon.com/images/M/MV5BMjE1MmI5YmEtNDI0Ny00ZjIzLTkwMzMtZTU5Yjc1MDVjMjkyXkEyXkFqcGdeQXVyMTI3MDk3MzQ@._V1_.jpg
Antonella Attili,https://www.imdb.com/name/nm0041066/,Italy,https://m.media-amazon.com/images/M/MV5BMTY2MzEyMjA3Ml5BMl5BanBnXkFtZTcwNTYzNDAzMQ@@._V1_.jpg
Isa Danieli,https://www.imdb.com/name/nm0199774/,Italy,https://m.media-amazon.com/images/M/MV5BMTJlZTBlOTQtZTRhNy00ZGY5LWJlMjMtOWViNTBiM2I0YTg4XkEyXkFqcGdeQXVyNTc0NjY1ODk@._V1_.jpg
Sigourney Weaver,https://www.imdb.com/name/nm0000244/,USA,https://m.media-amazon.com/images/M/MV5BMTk1MTcyNTE3OV5BMl5BanBnXkFtZTcwMTA0MTMyMw@@._V1_.jpg
Tom Skerritt,https://www.imdb.com/name/nm0000643/,USA,https://m.media-amazon.com/images/M/MV5BNzY3Mjk5MTMyMl5BMl5BanBnXkFtZTYwMjUxMTc1._V1_.jpg
John Hurt,https://www.imdb.com/name/nm0000457/,UK,https://m.media-amazon.com/images/M/MV5BMTM1NTgyMTAyOV5BMl5BanBnXkFtZTcwMTE4MjQwNA@@._V1_.jpg
Veronica Cartwright,https://www.imdb.com/name/nm0001021/,UK,https://m.media-amazon.com/images/M/MV5BOTg2NDE0MDkyOV5BMl5BanBnXkFtZTgwMDI1MzUyMDI@._V1_.jpg
Charles Chaplin,https://www.imdb.com/name/nm0000122/,UK,https://m.media-amazon.com/images/M/MV5BNDcwMDc0ODAzOF5BMl5BanBnXkFtZTgwNTY2OTI1MDE@._V1_.jpg
Virginia Cherrill,https://www.imdb.com/name/nm0156039/,USA,https://m.media-amazon.com/images/M/MV5BOGYwMDFhMzgtNzk0YS00YWY2LTgyZjAtMDk0MTQ3ZjE4YTE5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_.jpg
Florence Lee,https://www.imdb.com/name/nm5681967/,USA,https://m.media-amazon.com/images/M/MV5BMGRjYTRlYTgtMDA2Yi00OTljLTg3NzktMTMyODBiNTc5MTY3XkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_.jpg
Harry Myers,https://www.imdb.com/name/nm0616729/,USA,https://m.media-amazon.com/images/M/MV5BY2Y3NTdlZmYtNzFiYS00MTg4LWE1NmYtMGM4ZWVjNTZmYmY0XkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_.jpg
Martin Sheen,https://www.imdb.com/name/nm0000640/,USA,https://m.media-amazon.com/images/M/MV5BOTM1MTA5MTY0MV5BMl5BanBnXkFtZTcwMTQ4OTUzMg@@._V1_.jpg
Marlon Brando,https://www.imdb.com/name/nm0000008/,USA,https://m.media-amazon.com/images/M/MV5BMTg3MDYyMDE5OF5BMl5BanBnXkFtZTcwNjgyNTEzNA@@._V1_.jpg
Robert Duvall,https://www.imdb.com/name/nm0000380/,USA,https://m.media-amazon.com/images/M/MV5BMjk1MjA2Mjc2MF5BMl5BanBnXkFtZTcwOTE4MTUwMg@@._V1_.jpg
Frederic Forrest,https://www.imdb.com/name/nm0002078/,USA,https://m.media-amazon.com/images/M/MV5BMjAzNDIyMDQwN15BMl5BanBnXkFtZTYwMzM5NzE1._V1_.jpg
Guy Pearce,https://www.imdb.com/name/nm0001602/,UK,https://m.media-amazon.com/images/M/MV5BMTgyNzc2NzY3Nl5BMl5BanBnXkFtZTgwNTMzMzAwMjE@._V1_.jpg
Carrie-Anne Moss,https://www.imdb.com/name/nm0005251/,Canada,https://m.media-amazon.com/images/M/MV5BMTYxMjgwNzEwOF5BMl5BanBnXkFtZTcwNTQ0NzI5Ng@@._V1_.jpg
Joe Pantoliano,https://www.imdb.com/name/nm0001592/,USA,https://m.media-amazon.com/images/M/MV5BODBlYWY1MWUtZDdmYS00Y2VkLThmNDEtNGE4ZDAzNjk5NmI1XkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_.jpg
Mark Boone Junior,https://www.imdb.com/name/nm0095478/,USA,https://m.media-amazon.com/images/M/MV5BMjIxMjYzMzI0N15BMl5BanBnXkFtZTcwNzU1MTQyNg@@._V1_.jpg
Jamie Foxx,https://www.imdb.com/name/nm0004937/,USA,https://m.media-amazon.com/images/M/MV5BMTkyNjY1NDg3NF5BMl5BanBnXkFtZTgwNjA2MTg0MzE@._V1_.jpg
Christoph Waltz,https://www.imdb.com/name/nm0910607/,Austria,https://m.media-amazon.com/images/M/MV5BMTM4MDk3OTYxOF5BMl5BanBnXkFtZTcwMDk5OTUwOQ@@._V1_.jpg
Leonardo DiCaprio,https://www.imdb.com/name/nm0000138/,USA,https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_.jpg
Harrison Ford,https://www.imdb.com/name/nm0000148/,USA,https://m.media-amazon.com/images/M/MV5BMTY4Mjg0NjIxOV5BMl5BanBnXkFtZTcwMTM2NTI3MQ@@._V1_.jpg
Karen Allen,https://www.imdb.com/name/nm0000184/,USA,https://m.media-amazon.com/images/M/MV5BMTA0Mjc0NzExNzBeQTJeQWpwZ15BbWU3MDEzMzQ3MDI@._V1_.jpg
Paul Freeman,https://www.imdb.com/name/nm0293550/,UK,https://m.media-amazon.com/images/M/MV5BMjA4Mzc2NjU2N15BMl5BanBnXkFtZTcwNzYzMDAxMw@@._V1_.jpg
Ben Burtt,https://www.imdb.com/name/nm0123785/,USA,https://m.media-amazon.com/images/M/MV5BMTg5NTY4NjY1OV5BMl5BanBnXkFtZTcwNjQwNzkyMg@@._V1_.jpg
Elissa Knight,https://www.imdb.com/name/nm2264184/,USA,https://m.media-amazon.com/images/M/MV5BMjA2NTY0MTAxN15BMl5BanBnXkFtZTcwNjY2MjY3MQ@@._V1_.jpg
Jeff Garlin,https://www.imdb.com/name/nm0307531/,USA,https://m.media-amazon.com/images/M/MV5BMzY4MDE4OTk2MF5BMl5BanBnXkFtZTcwNjYxMzA2MQ@@._V1_.jpg
Fred Willard,https://www.imdb.com/name/nm0929609/,USA,https://m.media-amazon.com/images/M/MV5BMTg3MDMxNDQxMl5BMl5BanBnXkFtZTcwMjIwMzMzMw@@._V1_.jpg
Ulrich Mühe,https://www.imdb.com/name/nm0618057/,Germany,https://m.media-amazon.com/images/M/MV5BMTcwNzQ0OTAxOV5BMl5BanBnXkFtZTcwNDcyODczMQ@@._V1_.jpg
Martina Gedeck,https://www.imdb.com/name/nm0311476/,Germany,https://m.media-amazon.com/images/M/MV5BMTQ2MjY3MDYwNV5BMl5BanBnXkFtZTcwMTQ0MjAxNA@@._V1_.jpg
Sebastian Koch,https://www.imdb.com/name/nm0462407/,Germany,https://m.media-amazon.com/images/M/MV5BODEzMjY3MjQtNjc5Mi00MDAzLWFhNTUtZGU0ZDQ5MjE5NTIzXkEyXkFqcGdeQXVyMjExMjAwOTk@._V1_.jpg
Ulrich Tukur,https://www.imdb.com/name/nm0876300/,Germany,https://m.media-amazon.com/images/M/MV5BMTI4MDMwNTkzOF5BMl5BanBnXkFtZTcwMjY0OTk2Mg@@._V1_.jpg
William Holden,https://www.imdb.com/name/nm0000034/,USA,https://m.media-amazon.com/images/M/MV5BNzVhMjZiMzItMTIxYi00M2EzLWE0YWMtYTZhODk4NDQ2ZDJmXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_.jpg
Gloria Swanson,https://www.imdb.com/name/nm0841797/,USA,https://m.media-amazon.com/images/M/MV5BMTU3NzIxOTUwOV5BMl5BanBnXkFtZTYwNDM5MTI2._V1_.jpg
Erich von Stroheim,https://www.imdb.com/name/nm0002233/,Austria,https://m.media-amazon.com/images/M/MV5BMjEyMTYwNTcyOF5BMl5BanBnXkFtZTYwMzQ2MjI2._V1_.jpg
Nancy Olson,https://www.imdb.com/name/nm0647970/,USA,https://m.media-amazon.com/images/M/MV5BOTczNTA4MjExN15BMl5BanBnXkFtZTcwOTkyNTgxMw@@._V1_.jpg
Kirk Douglas,https://www.imdb.com/name/nm0000018/,USA,https://m.media-amazon.com/images/M/MV5BNzI4NjI4ZTYtYTlhZi00NDc1LWI2YWEtZGI2NDNhYTUzYWU5XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_.jpg
Ralph Meeker,https://www.imdb.com/name/nm0576127/,USA,https://m.media-amazon.com/images/M/MV5BNDUyMTg5MjA2MF5BMl5BanBnXkFtZTcwNzUxMjMxOA@@._V1_.jpg
Adolphe Menjou,https://www.imdb.com/name/nm0579663/,USA,https://m.media-amazon.com/images/M/MV5BMTg2NzgyMTE3M15BMl5BanBnXkFtZTYwNTIwMTM2._V1_.jpg
George Macready,https://www.imdb.com/name/nm0534317/,USA,https://m.media-amazon.com/images/M/MV5BMjA4OTQ1MzAyN15BMl5BanBnXkFtZTcwOTc3NTIxOA@@._V1_.jpg
Jack Nicholson,https://www.imdb.com/name/nm0000197/,USA,https://m.media-amazon.com/images/M/MV5BMTQ3OTY0ODk0M15BMl5BanBnXkFtZTYwNzE4Njc4._V1_.jpg
Shelley Duvall,https://www.imdb.com/name/nm0001167/,USA,https://m.media-amazon.com/images/M/MV5BNjE4MTY1Mzk0N15BMl5BanBnXkFtZTgwOTQzNDE2MDE@._V1_.jpg
Danny Lloyd,https://www.imdb.com/name/nm0515950/,USA,https://m.media-amazon.com/images/M/MV5BZDBkN2I0YTktY2I4Ni00MTQ1LWIwY2YtZDUzMzAwZDRmZDQ0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg
Scatman Crothers,https://www.imdb.com/name/nm0001079/,USA,https://m.media-amazon.com/images/M/MV5BMjEzNDY4OTU5N15BMl5BanBnXkFtZTcwNDU0MjYwOA@@._V1_.jpg
Charles Chaplin,https://www.imdb.com/name/nm0000122/,UK,https://m.media-amazon.com/images/M/MV5BNDcwMDc0ODAzOF5BMl5BanBnXkFtZTgwNTY2OTI1MDE@._V1_.jpg
Paulette Goddard,https://www.imdb.com/name/nm0002104/,USA,https://m.media-amazon.com/images/M/MV5BMjE1NTk1Mjg4MF5BMl5BanBnXkFtZTcwMjAxMDIzNw@@._V1_.jpg
Jack Oakie,https://www.imdb.com/name/nm0642988/,USA,https://m.media-amazon.com/images/M/MV5BNGMyMThjZGItYmYwZC00YTkxLWI1MGMtMDExZDdkYjFjZTRhXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_.jpg
Reginald Gardiner,https://www.imdb.com/name/nm0306786/,UK,https://m.media-amazon.com/images/M/MV5BY2JkY2RhMTktNzI2Ny00NTBlLWJkMDctNjk4MzhhOTE5MWIzXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_.jpg
Robert Downey Jr.,https://www.imdb.com/name/nm0000375/,USA,https://m.media-amazon.com/images/M/MV5BNzg1MTUyNDYxOF5BMl5BanBnXkFtZTgwNTQ4MTE2MjE@._V1_.jpg
Chris Hemsworth,https://www.imdb.com/name/nm1165110/,Australia,https://m.media-amazon.com/images/M/MV5BOTU2MTI0NTIyNV5BMl5BanBnXkFtZTcwMTA4Nzc3OA@@._V1_.jpg
Mark Ruffalo,https://www.imdb.com/name/nm0749263/,USA,https://m.media-amazon.com/images/M/MV5BNWIzZTI1ODUtZTUzMC00NTdiLWFlOTYtZTg4MGZkYmU4YzNlXkEyXkFqcGdeQXVyNTExOTk5Nzg@._V1_.jpg
Chris Evans,https://www.imdb.com/name/nm0262635/,USA,https://m.media-amazon.com/images/M/MV5BMTU2NTg1OTQzMF5BMl5BanBnXkFtZTcwNjIyMjkyMg@@._V1_.jpg
Tyrone Power,https://www.imdb.com/name/nm0000061/,USA,https://m.media-amazon.com/images/M/MV5BMTMyNTEzOTA2OF5BMl5BanBnXkFtZTYwNDk5MDM2._V1_.jpg
Marlene Dietrich,https://www.imdb.com/name/nm0000017/,Germany,https://m.media-amazon.com/images/M/MV5BMTI0NTcyMTM5OF5BMl5BanBnXkFtZTYwOTkzMDU2._V1_.jpg
Charles Laughton,https://www.imdb.com/name/nm0001452/,UK,https://m.media-amazon.com/images/M/MV5BMTMzOTQ0MTMzNF5BMl5BanBnXkFtZTYwNzkyNjI2._V1_.jpg
Elsa Lanchester,https://www.imdb.com/name/nm0006471/,UK,https://m.media-amazon.com/images/M/MV5BMTI2OTI2MDM5OF5BMl5BanBnXkFtZTYwOTk5MDM2._V1_.jpg
Sigourney Weaver,https://www.imdb.com/name/nm0000244/,USA,https://m.media-amazon.com/images/M/MV5BMTk1MTcyNTE3OV5BMl5BanBnXkFtZTcwMTA0MTMyMw@@._V1_.jpg
Michael Biehn,https://www.imdb.com/name/nm0000299/,USA,https://m.media-amazon.com/images/M/MV5BMTM2OTI1MTEyOV5BMl5BanBnXkFtZTcwMzM5NTQ4NA@@._V1_.jpg
Carrie Henn,https://www.imdb.com/name/nm0001343/,USA,https://m.media-amazon.com/images/M/MV5BYzI0MjQ3YzAtNWRmNC00MjYyLWJhNDAtNDc4MjA3ZTg1MWY2XkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_.jpg
Paul Reiser,https://www.imdb.com/name/nm0001663/,USA,https://m.media-amazon.com/images/M/MV5BMTQ1MjUwMjI4M15BMl5BanBnXkFtZTcwNzc0NTg3NA@@._V1_.jpg
Shameik Moore,https://www.imdb.com/name/nm4271336/,USA,https://m.media-amazon.com/images/M/MV5BMjAwNDU2OTc5M15BMl5BanBnXkFtZTgwOTk0ODMyNDE@._V1_.jpg
Jake Johnson,https://www.imdb.com/name/nm2159926/,USA,https://m.media-amazon.com/images/M/MV5BMjExMzc5NDM0Nl5BMl5BanBnXkFtZTcwOTU3MDU3OA@@._V1_.jpg
Hailee Steinfeld,https://www.imdb.com/name/nm2794962/,USA,https://m.media-amazon.com/images/M/MV5BMGFmZDVhZDUtZWIyNC00NzBjLTg0ZGEtY2FhMjJlZWJhZjBlXkEyXkFqcGdeQXVyMTcwNzE4OTI@._V1_.jpg
Mahershala Ali,https://www.imdb.com/name/nm0991810/,USA,https://m.media-amazon.com/images/M/MV5BZThiZjJjNWYtNGRlYS00NDdkLTk0MTMtYjEwYzM1MDExNTYwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_.jpg
Stars Kevin Spacey,https://www.imdb.com/name/nm0000228/,USA,https://m.media-amazon.com/images/M/MV5BMTY1NzMyODc3Nl5BMl5BanBnXkFtZTgwNzE2MzA1NDM@._V1_.jpg
Annette Bening,https://www.imdb.com/name/nm0000906/,USA,https://m.media-amazon.com/images/M/MV5BMTc4ODQ1ODM5Ml5BMl5BanBnXkFtZTcwOTU2NDk3OQ@@._V1_.jpg
Thora Birch,https://www.imdb.com/name/nm0000301/,USA,https://m.media-amazon.com/images/M/MV5BZDY3ZjBkNzAtOTdhYS00NjU1LTg0MTEtOGNjODk0NWU4YTNjXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
Peter Sellers,https://www.imdb.com/name/nm0000634/,UK,https://m.media-amazon.com/images/M/MV5BMTI0MjE1MjczMF5BMl5BanBnXkFtZTYwMDIxNTQ2._V1_.jpg
